layer,from_account,to_account,amount,case_id
5,A109620,A213524,95827.15,C14
6,A213524,CRYPTO8382,52546.57,C14
1,A217226,A836888,123794.87,C14
2,A836888,A929958,54561.99,C14
3,A929958,A472563,116843.45,C14
4,A472563,CRYPTO2748,181437.43,C14
1,A612853,A803559,136268.83,C14
2,A803559,A242589,199310.31,C14
3,A242589,A153938,193814.82,C14
4,A153938,A282524,8750.84,C14
5,A282524,CRYPTO5122,116320.07,C14
1,A559008,A405413,178571.83,C14
2,A405413,A237867,110022.19,C14
3,A237867,A215964,52269.71,C14
4,A215964,A386143,72329.68,C14
5,A386143,A708508,128649.66,C14
6,A708508,CRYPTO5210,20248.55,C14
1,A167113,A818019,133601.78,C14
2,A818019,A191528,38295.96,C14
3,A191528,A654722,70206.87,C14
4,A654722,A557693,130374.47,C14
5,A557693,A625492,165054.21,C14
6,A625492,CRYPTO1785,164015.66,C14
1,A134490,A660461,103208.52,C14
2,A660461,A721185,55730.09,C14
3,A721185,A422342,35875.09,C14
4,A422342,A769474,121447.99,C14
5,A769474,CRYPTO4882,51361.35,C14
1,A599235,A625691,142774.98,C15
2,A625691,A169253,116464.15,C15
3,A169253,A170851,65207.42,C15
4,A170851,A694975,70896.2,C15
5,A694975,A663793,97420.47,C15
6,A663793,CRYPTO7994,7257.31,C15
1,A829174,A210834,131763.53,C15
2,A210834,A199451,30018.25,C15
3,A199451,CRYPTO2265,161375.02,C15
1,A400454,A973716,144174.87,C15
2,A973716,A778879,56656.65,C15
3,A778879,A198066,10806.87,C15
4,A198066,A883048,108630.43,C15
5,A883048,A702357,45478.07,C15
6,A702357,CRYPTO7845,12652.61,C15
1,A503775,A486944,112612.23,C15
2,A486944,A744404,29410.89,C15
3,A744404,CRYPTO8113,18933.78,C15
1,A927674,A862803,178745.32,C15
2,A862803,A767727,98375.39,C15
3,A767727,CRYPTO9311,199010.61,C15
1,A890048,A227338,162718.44,C15
2,A227338,A327037,20623.78,C15
3,A327037,CRYPTO5983,171942.65,C15
1,A323899,A111088,166749.21,C15
2,A111088,A319988,55942.06,C15
3,A319988,CRYPTO2079,41981.78,C15
1,A876191,A233596,111307.29,C15
2,A233596,A965807,64334.58,C15
3,A965807,A767661,148172.9,C15
4,A767661,A819958,119124.47,C15
5,A819958,A210993,91189.36,C15
6,A210993,CRYPTO2223,57357.76,C15
1,A970950,A363598,33022.87,C15
2,A363598,A442704,106018.31,C15
3,A442704,A517558,170222.19,C15
4,A517558,A573527,116674.4,C15
5,A573527,A211296,146006.14,C15
6,A211296,CRYPTO1898,171308.12,C15
1,A286349,A324334,160479.33,C16
2,A324334,A886940,34672.82,C16
3,A886940,CRYPTO7117,38012.59,C16
1,A135901,A818020,10744.48,C16
2,A818020,A224730,71892.19,C16
3,A224730,A770901,186616.42,C16
4,A770901,CRYPTO1956,125866.32,C16
1,A487702,A321721,100922.01,C16
2,A321721,A993007,168427.65,C16
3,A993007,A853321,30342.21,C16
4,A853321,CRYPTO1045,163291.23,C16
1,A899189,A698557,22039.62,C16
2,A698557,A221833,68292.02,C16
3,A221833,CRYPTO7869,77754.46,C16
1,A519869,A132980,16663.68,C16
2,A132980,A883692,43471.28,C16
3,A883692,A110679,80899.28,C16
4,A110679,A844581,92413.72,C16
5,A844581,A986207,139656.33,C16
6,A986207,CRYPTO1537,140696.88,C16
1,A452437,A582713,55410.75,C16
2,A582713,A839797,144917.56,C16
3,A839797,CRYPTO7662,66591.76,C16
1,A182490,A394644,35222.88,C17
2,A394644,A167398,135507.81,C17
3,A167398,CRYPTO1369,88545.3,C17
1,A397239,A591422,133941.42,C17
2,A591422,A885879,71422.0,C17
3,A885879,CRYPTO9771,20888.14,C17
1,A667224,A829632,34527.31,C17
2,A829632,A678669,115315.18,C17
3,A678669,A742239,67169.71,C17
4,A742239,CRYPTO6827,18456.19,C17
1,A860138,A852432,183995.06,C17
2,A852432,A103596,125813.53,C17
3,A103596,A721311,194087.99,C17
4,A721311,A563499,68900.63,C17
5,A563499,A538755,80077.6,C17
6,A538755,CRYPTO6789,95675.61,C17
1,A617770,A135510,44291.92,C17
2,A135510,A977824,14550.31,C17
3,A977824,A308073,189817.56,C17
4,A308073,CRYPTO7840,124537.97,C17
1,A619317,A603576,116246.56,C17
2,A603576,A482449,15661.94,C17
3,A482449,A505541,154790.18,C17
4,A505541,A525030,26805.14,C17
5,A525030,A197935,85676.66,C17
6,A197935,CRYPTO6498,49554.91,C17
1,A201481,A906930,91059.89,C17
2,A906930,A109293,174342.27,C17
3,A109293,A625753,73537.62,C17
4,A625753,CRYPTO7475,11478.63,C17
1,A550406,A223293,148927.09,C17
2,A223293,A778356,155832.07,C17
3,A778356,A269830,39947.56,C17
4,A269830,A354040,141625.94,C17
5,A354040,A847530,117497.67,C17
6,A847530,CRYPTO2286,121449.23,C17
1,A161512,A800430,46210.89,C17
2,A800430,A805625,16212.61,C17
3,A805625,A666042,46672.31,C17
4,A666042,A755344,51980.82,C17
5,A755344,A818801,31588.21,C17
6,A818801,CRYPTO7971,151155.7,C17
1,A336934,A153983,10047.64,C18
2,A153983,A954045,51715.63,C18
3,A954045,A441675,55175.56,C18
4,A441675,CRYPTO1527,113338.39,C18
1,A980111,A511355,30652.11,C18
2,A511355,A814247,130075.89,C18
3,A814247,A327696,196726.34,C18
4,A327696,A516168,134618.81,C18
5,A516168,CRYPTO5058,112793.61,C18
1,A805841,A316589,75298.95,C18
2,A316589,A427718,14706.69,C18
3,A427718,A454374,131941.13,C18
4,A454374,A838594,168884.95,C18
5,A838594,A864979,72679.16,C18
6,A864979,CRYPTO6491,132981.8,C18
1,A206586,A626057,172411.84,C18
2,A626057,A807395,87985.0,C18
3,A807395,A304331,122794.66,C18
4,A304331,CRYPTO3625,76509.31,C18
1,A398006,A318528,192246.14,C18
2,A318528,A176254,180687.18,C18
3,A176254,CRYPTO3980,141596.69,C18
1,A271176,A552177,103070.35,C18
2,A552177,A370385,163843.53,C18
3,A370385,CRYPTO7835,38874.12,C18
1,A250478,A848317,89769.25,C19
2,A848317,A698913,99770.87,C19
3,A698913,CRYPTO2643,142464.18,C19
1,A185982,A503962,166743.48,C19
2,A503962,A580000,156715.01,C19
3,A580000,A760384,116339.41,C19
4,A760384,A381500,178432.37,C19
5,A381500,A637371,153564.0,C19
6,A637371,CRYPTO5895,157214.12,C19
1,A446706,A712591,18035.81,C19
2,A712591,A526925,120468.76,C19
3,A526925,CRYPTO3835,177483.35,C19
1,A729290,A327484,105106.62,C19
2,A327484,A765487,164829.97,C19
3,A765487,A618189,100518.89,C19
4,A618189,CRYPTO6830,185986.25,C19
1,A780326,A895838,108729.87,C19
2,A895838,A557323,31329.05,C19
3,A557323,A638122,9868.24,C19
4,A638122,A629146,97915.08,C19
5,A629146,CRYPTO2142,20669.36,C19
1,A794455,A433697,86314.18,C19
2,A433697,A703498,194332.5,C19
3,A703498,A314274,116790.24,C19
4,A314274,A936984,178267.58,C19
5,A936984,A912474,32102.65,C19
6,A912474,CRYPTO9052,141875.78,C19
1,A456710,A118479,194039.49,C20
2,A118479,A479544,194609.67,C20
3,A479544,A371739,102964.22,C20
4,A371739,A442493,7317.0,C20
5,A442493,A541971,23151.72,C20
6,A541971,CRYPTO6925,25481.99,C20
1,A845652,A871551,95916.31,C20
2,A871551,A729793,127085.47,C20
3,A729793,A221183,153872.79,C20
4,A221183,A404214,137289.52,C20
5,A404214,A528556,150585.07,C20
6,A528556,CRYPTO7660,130886.4,C20
1,A676765,A136319,28569.44,C20
2,A136319,A575722,198039.54,C20
3,A575722,A446959,97807.48,C20
4,A446959,A778436,178693.82,C20
5,A778436,A317359,82975.38,C20
6,A317359,CRYPTO1447,131856.79,C20
1,A821958,A678867,84106.92,C20
2,A678867,A697674,109415.46,C20
3,A697674,CRYPTO9532,5965.19,C20
1,A454639,A348160,94996.63,C20
2,A348160,A277623,81845.97,C20
3,A277623,A862228,16768.45,C20
4,A862228,A211482,80154.5,C20
5,A211482,CRYPTO7849,82556.85,C20
1,A181402,A740478,162577.02,C20
2,A740478,A800124,14074.66,C20
3,A800124,A398364,133076.59,C20
4,A398364,CRYPTO7287,161573.75,C20
1,A506971,A227576,115632.64,C20
2,A227576,A382773,101873.56,C20
3,A382773,A207527,7144.74,C20
4,A207527,A823544,199648.95,C20
5,A823544,A925593,44948.45,C20
6,A925593,CRYPTO6660,62907.83,C20
1,A396284,A991834,57728.17,C20
2,A991834,A175893,46858.87,C20
3,A175893,A827214,19216.27,C20
4,A827214,CRYPTO1649,134013.84,C20
1,A975956,A122907,171027.23,C20
2,A122907,A663255,144476.56,C20
3,A663255,A158167,43042.11,C20
4,A158167,CRYPTO1558,96945.47,C20
1,A101603,A983192,43328.64,C20
2,A983192,A128148,83411.6,C20
3,A128148,A193927,111580.14,C20
4,A193927,CRYPTO2645,19274.01,C20
1,A479515,A194092,144517.04,C21
2,A194092,A222041,46200.67,C21
3,A222041,A926093,117318.34,C21
